T/R 	1         	2         	3         	4         	5         	6         	7         	8         	9         	10        	11        	12        	13        	14        	15        	16        	17        	18        	19        	20        	21        	22        	23        	24        	25
12  	  577.0783774315	 5589.1730904063	7.87674081592E+5	 9646.8619578542	1.28634503587E+5	16248.6532802128	77127.0594778914	4.13615376117E+5	1.41563731205E+6	1.12456587802E+7	7.91141024711E+6	3.11951500137E+5	4.91859804659E+5	5.48889538865E+5	2.75054503822E+7	1.41661798291E+6	6.05514369033E+6	9.82845542887E+6	4.37791352151E+6	8.34653062939E+6	2.12186961491E+7	2.07709665583E+7	1.65074893702E+7	1.57716040686E+6	3.45832565671E+6
13  	  577.0707538898	 5589.1632336076	7.87674081331E+5	 9646.8619806061	1.28634503640E+5	16248.6532147083	77127.0594578685	4.13615376139E+5	1.41563731220E+6	1.73696493714E+7	7.91141024733E+6	3.11951500140E+5	4.91859804727E+5	5.48889538934E+5	2.75054503832E+7	1.41661798493E+6	6.05514369905E+6	9.82845543014E+6	4.37791352194E+6	8.34653062959E+6	2.12186961491E+7	2.07709665584E+7	1.65074893720E+7	1.57716040693E+6	3.45832565679E+6
14  	  577.0595117003	 5589.1381807796	7.87674081023E+5	 9646.8620042566	1.28634503696E+5	16248.6531429129	77127.0594356940	4.13615376162E+5	1.41563731237E+6	2.33519488884E+7	7.91141024759E+6	3.11951500144E+5	4.91859804801E+5	5.48889539007E+5	2.75054503840E+7	1.41661798761E+6	6.05514371938E+6	9.82845543092E+6	4.37791352228E+6	8.34653062975E+6	2.12186961492E+7	2.07709665585E+7	1.65074893730E+7	1.57716040699E+6	3.45832565687E+6
15  	    0.0662275481	    0.1764495757	7.87674080652E+5	 9646.8620289651	1.28634503757E+5	16248.6530637821	77127.0594111653	4.13615376186E+5	1.41563731256E+6	2.58834334270E+7	7.91141024789E+6	3.11951500147E+5	4.91859804881E+5	5.48889539087E+5	2.75054503845E+7	1.41661799188E+6	9.35523940483E+6	9.82845543152E+6	4.37791352257E+6	8.34653062990E+6	2.12186961492E+7	2.07709665586E+7	1.65074893738E+7	1.57716040704E+6	3.45832565693E+6
16  	    0.0652508811	    0.1118624969	7.87674080215E+5	 9646.8620548117	1.28634503821E+5	16248.6529767570	77127.0593841870	4.13615376211E+5	1.41563731277E+6	2.58834334496E+7	7.91141024826E+6	3.11951500151E+5	4.91859804966E+5	5.48889539173E+5	2.75054503850E+7	1.41661799828E+6	1.50546674996E+7	9.82845543198E+6	4.37791352282E+6	8.34653063003E+6	2.12186961493E+7	2.07709665587E+7	1.65074893744E+7	1.57716040709E+6	3.45832565699E+6
17  	    0.0528499185	    0.0721196227	7.87674079690E+5	 9646.8620820158	1.28634503891E+5	16248.6528803326	77127.0593545033	4.13615376237E+5	1.41563731302E+6	2.58834334600E+7	7.91141024870E+6	3.11951500155E+5	4.91859805059E+5	5.48889539266E+5	2.75054503854E+7	1.41661800982E+6	2.06129834118E+7	9.82845543237E+6	4.37791352304E+6	8.34653063014E+6	2.12186961493E+7	2.07709665587E+7	1.65074893749E+7	1.57716040714E+6	3.45832565704E+6
18  	    0.0414766589	    0.0453641211	7.87674079044E+5	 9646.8621108355	1.28634503968E+5	16248.6527725067	77127.0593217959	4.13615376265E+5	1.41563731330E+6	2.58834334671E+7	7.91141024926E+6	3.11951500159E+5	4.91859805161E+5	5.48889539369E+5	2.75054503857E+7	1.41661804812E+6	2.60273364557E+7	9.82845543271E+6	4.37791352323E+6	8.34653063024E+6	2.12186961493E+7	2.07709665588E+7	1.65074893754E+7	1.57716040718E+6	3.45832565709E+6
19  	    0.0301445318	    0.0244561592	7.87674078229E+5	 9646.8621415317	1.28634504052E+5	16248.6526505663	77127.0592856820	4.13615376295E+5	1.41563731364E+6	2.58834334724E+7	7.91141024996E+6	3.11951500163E+5	4.91859805273E+5	5.48889539483E+5	2.75054503860E+7	5.18103262017E+6	2.75304038721E+7	9.82845543302E+6	4.37791352341E+6	8.34653063034E+6	2.12186961494E+7	2.07709665589E+7	1.65074893757E+7	1.57716040722E+6	3.45832565714E+6
20  	    0.0225745659	    0.0178801645	7.87674077238E+5	 9646.8621743085	1.28634504147E+5	16248.6525125255	77127.0592459339	4.13615376326E+5	1.41563731407E+6	2.58834334757E+7	7.91141025081E+6	3.11951500168E+5	4.91859805396E+5	5.48889539610E+5	2.75054503863E+7	1.03077071750E+7	2.75304038997E+7	9.82845543329E+6	4.37791352357E+6	8.34653063043E+6	2.12186961494E+7	2.07709665589E+7	1.65074893760E+7	1.57716040726E+6	3.45832565718E+6
21  	    0.0173791925	    0.0140673028	7.87674076023E+5	 9646.8622095741	1.28634504254E+5	16248.6523539184	77127.0592020357	4.13615376358E+5	1.41563731474E+6	2.58834334781E+7	7.91141025184E+6	3.11951500174E+5	4.91859805535E+5	5.48889539753E+5	2.75054503865E+7	1.52907298258E+7	2.75304039124E+7	9.82845543354E+6	4.37791352371E+6	8.34653063051E+6	2.12186961494E+7	2.07709665590E+7	1.65074893763E+7	1.57716040729E+6	3.45832565722E+6
