T   	x_agg
107 	2.046575201564468E+5
108 	2.046642314686582E+5
109 	2.046706407220623E+5
110 	2.046767615115450E+5
111 	2.046826068201213E+5
112 	2.046881890464746E+5
113 	2.046935200312552E+5
114 	2.046986110821967E+5
115 	2.047034729981007E+5
116 	2.047081160917427E+5
117 	2.047125502117469E+5
118 	2.047167847634761E+5
119 	2.047208287289827E+5
120 	2.047246906860592E+5
121 	2.047283788264348E+5
122 	2.047319009731495E+5
123 	2.047352645971487E+5
124 	2.047384768331300E+5
125 	2.047415444946765E+5
126 	2.047444740887097E+5
127 	2.047472718292912E+5
128 	2.047499436508041E+5
129 	2.047524952205399E+5
130 	2.047549319507202E+5
131 	2.047572590099763E+5
132 	2.047594813343130E+5
133 	2.047616036375781E+5
134 	2.047636304214615E+5
135 	2.047655659850434E+5
136 	2.047674144339137E+5
137 	2.047691796888804E+5
138 	2.047708654942859E+5
139 	2.047724754259494E+5
140 	2.047740128987520E+5
141 	2.047754811738795E+5
142 	2.047768833657404E+5
143 	2.047782224485716E+5
144 	2.047795012627472E+5
145 	2.047807225208038E+5
146 	2.047818888131933E+5
147 	2.047830026137783E+5
148 	2.047840662850791E+5
149 	2.047850820832851E+5
150 	2.047860521630408E+5
151 	2.047869785820151E+5
152 	2.047878633052669E+5
153 	2.047887082094131E+5
154 	2.047895150866084E+5
155 	2.047902856483476E+5
156 	2.047910215290956E+5
157 	2.047917242897539E+5
158 	2.047923954209723E+5
159 	2.047930363463100E+5
160 	2.047936484252555E+5
161 	2.047942329561106E+5
162 	2.047947911787433E+5
163 	2.047953242772188E+5
164 	2.047958333823105E+5
165 	2.047963195738985E+5
166 	2.047967838832604E+5
167 	2.047972272952586E+5
168 	2.047976507504293E+5
169 	2.047980551469778E+5
170 	2.047984413426834E+5
171 	2.047988101567190E+5
172 	2.047991623713887E+5
173 	2.047994987337869E+5
174 	2.047998199573834E+5
175 	2.048001267235365E+5
176 	2.048004196829385E+5
177 	2.048006994569953E+5
178 	2.048009666391455E+5
179 	2.048012217961181E+5
180 	2.048014654691353E+5
181 	2.048016981750601E+5
182 	2.048019204074933E+5
183 	2.048021326378194E+5
184 	2.048023353162076E+5
185 	2.048025288725658E+5
186 	2.048027137174530E+5
187 	2.048028902429500E+5
188 	2.048030588234911E+5
189 	2.048032198166583E+5
190 	2.048033735639395E+5
191 	2.048035203914534E+5
192 	2.048036606106409E+5
193 	2.048037945189257E+5
194 	2.048039224003451E+5
195 	2.048040445261530E+5
196 	2.048041611553942E+5
197 	2.048042725354554E+5
198 	2.048043789025884E+5
199 	2.048044804824124E+5
200 	2.048045774903919E+5
