T   	w_agg
0   	  6.1400588708503550
1   	  5.1671125796055050
2   	  4.5106676054122950
3   	  3.9757080490577534
4   	  3.6000903072779895
5   	  3.2720979169654343
6   	  3.0599176701887180
7   	  2.8434508379509533
8   	  2.6481989517314615
9   	  2.4490023143074917
10  	  2.2457812090061630
11  	  2.0935438887766193
12  	  1.9382307777305374
13  	  1.7797797139406730
14  	  1.6181272778934750
15  	  1.4772132317533710
16  	  1.3346022252586052
17  	  1.1891099623133625
18  	  1.0406782156201728
19  	  0.8892475801060888
20  	  0.7347574490272092
21  	  0.5771459895834593
22  	  0.4163501180332548
23  	  0.2523054742974463
24  	  0.2191092170455629
25  	  0.1881240597480516
26  	  0.1565121818676991
27  	  0.1242608696251628
28  	  0.0913571487742341
29  	  0.0577877790921417
30  	  0.0235392487417761
31  	  0.0000353520818578
32  	  0.0000357737219031
33  	  0.0000361705237248
34  	  0.0000365629614303
35  	  0.0000369547220794
36  	  0.0000373472264863
37  	  0.0000377413959466
38  	  0.0000381379099530
39  	  0.0000385372196502
40  	  0.0000389396165383
41  	  0.0000393455492734
42  	  0.0000397552476813
43  	  0.0000401688521856
44  	  0.0000405863561390
45  	  0.0000410078698238
46  	  0.0000414335986474
47  	  0.0000418636829482
48  	  0.0000422981916594
49  	  0.0000427371852835
50  	  0.0000431807181306
51  	  0.0000436288400902
52  	  0.0000440815975107
53  	  0.0000445390340603
54  	  0.0000450011426774
55  	  0.0000454678060397
56  	  0.0000459390486232
57  	  0.0000464150861138
58  	  0.0000468958053186
59  	  0.0000473812623530
60  	  0.0000478715198675
61  	  0.0000483667992693
62  	  0.0000488671174332
63  	  0.0000493721013558
64  	  0.0000498821714885
65  	  0.0000503974138525
66  	  0.0000509173331117
67  	  0.0000514422225505
68  	  0.0000519721300092
69  	  0.0000525073832386
70  	  0.0000530475369787
71  	  0.0000535931332131
72  	  0.0000541440135511
73  	  0.0000547004270848
74  	  0.0000552626056660
75  	  0.0000558306102280
76  	  0.0000564043030963
77  	  0.0000569839390243
78  	  0.0000575695485256
79  	  0.0000581610987449
80  	  0.0000587587981488
81  	  0.0000593627035186
82  	  0.0000599728713531
83  	  0.0000605892979083
84  	  0.0000612120858153
85  	  0.0000618413256075
86  	  0.0000624770728534
87  	  0.0000631193831473
88  	  0.0000637683118392
89  	  0.0000644239140901
90  	  0.0000650862448579
91  	  0.0000657553588335
92  	  0.0000664313103549
93  	  0.0000671141533108
94  	  0.0000678039410438
95  	  0.0000685007262626
96  	  0.0000692045609742
97  	  0.0000699154964425
98  	  0.0000706335831819
99  	  0.0000713588709896
100 	  0.0000720914090196
101 	  0.0000728312458978
102 	  0.0000735784298772
103 	  0.0000743330090284
104 	  0.0000750950314597
105 	  0.0000758645455607
106 	  0.0000766416002593
107 	  0.0000774262452866
108 	  0.0000782185314379
109 	  0.0000790185108254
110 	  0.0000798262371129
111 	  0.0000806417657286
112 	  0.0000814651540506
113 	  0.0000822964615638
114 	  0.0000831357499852
115 	  0.0000839830833588
116 	  0.0000848385281214
117 	  0.0000857021531409
118 	  0.0000865740297299
119 	  0.0000874542316388
120 	  0.0000883428350293
121 	  0.0000892399184347
122 	  0.0000901455627069
123 	  0.0000910598509547
124 	  0.0000919828684743
125 	  0.0000929147026758
126 	  0.0000938554430038
127 	  0.0000948051808569
128 	  0.0000957640095044
129 	  0.0000967320240020
130 	  0.0000977093211064
131 	  0.0000986959991898
132 	  0.0000996921581544
133 	  0.0001006978993468
134 	  0.0001017133254743
135 	  0.0001027385405211
136 	  0.0001037736496669
137 	  0.0001048187592073
138 	  0.0001058739764764
139 	  0.0001069394097720
140 	  0.0001080151682841
141 	  0.0001091013620254
142 	  0.0001101981017660
143 	  0.0001113054989692
144 	  0.0001124236657313
145 	  0.0001135527147213
146 	  0.0001146927591228
147 	  0.0001158439125752
148 	  0.0001170062891125
149 	  0.0001181800031001
150 	  0.0001193651691661
151 	  0.0001205619021255
152 	  0.0001217703168961
153 	  0.0001229905284024
154 	  0.0001242226514680
155 	  0.0001254668006911
156 	  0.0001267230903052
157 	  0.0001279916340209
158 	  0.0001292725448490
159 	  0.0001305659349046
160 	  0.0001318719151911
161 	  0.0001331905953647
162 	  0.0001345220834785
163 	  0.0001358664857052
164 	  0.0001372239060350
165 	  0.0001385944459444
166 	  0.0001399782040251
167 	  0.0001413752755616
168 	  0.0001427857520361
169 	  0.0001442097205384
170 	  0.0001456472630509
171 	  0.0001470984555805
172 	  0.0001485633671157
173 	  0.0001500420584025
174 	  0.0001515345805715
175 	  0.0001530409736996
176 	  0.0001545612654763
177 	  0.0001560954702521
178 	  0.0001576435888744
179 	  0.0001592056098486
180 	  0.0001607815124559
181 	  0.0001623712724656
182 	  0.0001639748709283
183 	  0.0001655923061437
184 	  0.0001672236082088
185 	  0.0001688688545919
186 	  0.0001705281841298
187 	  0.0001722018063697
188 	  0.0001738900048261
189 	  0.0001755931398739
190 	  0.0001773116752449
191 	  0.0001790462849890
192 	  0.0001807981249340
193 	  0.0001825692786319
194 	  0.0001843630719154
195 	  0.0001861839422848
196 	  0.0001880408913570
197 	  0.0001899602071362
198 	  0.0001918547093390
199 	  0.0002398334286412
200 	  0.0000000000000000
