T/R 	1         	2         	3         	4         	5         	6         	7         	8         	9         	10        	11        	12        	13        	14        	15        	16        	17        	18        	19        	20        	21        	22        	23        	24        	25
15  	    0.0000125999	    0.0000148199	    0.0000167128	    0.0000407903	    0.0000772731	    0.0000132488	    0.0000184727	    0.0000405254	    0.0002251869	    0.0226188806	    0.0003771573	    0.0000237805	    0.0000976785	    0.0000977763	    0.0004610661	    0.0064061965	5.69942809480E+6	    0.0004744027	    0.0002592260	    0.0001388778	    0.0000564303	    0.0000896034	    0.0006140501	    0.0000650422	    0.0000738462
16  	    0.0000131144	    0.0000152563	    0.0000172653	    0.0000427558	    0.0000831262	    0.0000140023	    0.0000188742	    0.0000424184	    0.0002547116	    0.0104194829	    0.0004570894	    0.0000248459	    0.0001054296	    0.0001058378	    0.0003903964	    0.0115529512	5.55831591220E+6	    0.0004008426	    0.0002295991	    0.0001265951	    0.0000535943	    0.0000839940	    0.0005000733	    0.0000619098	    0.0000693340
17  	    0.0000137096	    0.0000157339	    0.0000178338	    0.0000450135	    0.0000901937	    0.0000148121	    0.0000193188	    0.0000444652	    0.0002931747	    0.0070672342	    0.0005664803	    0.0000259886	    0.0001145600	    0.0001155519	    0.0003432998	    0.0383141695	5.41435304394E+6	    0.0003549640	    0.0002079108	    0.0001172732	    0.0000513379	    0.0000794975	    0.0004265164	    0.0000594722	    0.0000658071
18  	    0.0000143865	    0.0000162497	    0.0000184194	    0.0000475686	    0.0000990081	    0.0000156826	    0.0000198145	    0.0000466964	    0.0003501621	    0.0052655756	    0.0007141198	    0.0000272136	    0.0001255665	    0.0001275395	    0.0003099067	3.76441457206E+6	1.50306741636E+6	    0.0003218446	    0.0001910757	    0.0001099939	    0.0000495432	    0.0000758483	    0.0003754854	    0.0000575420	    0.0000630103
19  	    0.0000151329	    0.0000168019	    0.0000190093	    0.0000503475	    0.0001093882	    0.0000165805	    0.0000203400	    0.0000490162	    0.0004436513	    0.0033435488	    0.0008699347	    0.0000284761	    0.0001377833	    0.0001411449	    0.0002790887	5.12667455481E+6	    0.0276670843	    0.0002890938	    0.0001753335	    0.0001034351	    0.0000479890	    0.0000725239	    0.0003302664	    0.0000557950	    0.0000605318
20  	    0.0000159636	    0.0000174125	    0.0000196187	    0.0000535749	    0.0001229631	    0.0000175201	    0.0000209098	    0.0000515496	    0.0006825347	    0.0024628602	    0.0010423052	    0.0000298329	    0.0001533394	    0.0001582039	    0.0002565032	4.98302265090E+6	    0.0127105559	    0.0002649481	    0.0001631216	    0.0000982782	    0.0000467954	    0.0000698452	    0.0002978972	    0.0000544695	    0.0000586188
21  	    0.0000168733	    0.0000180852	    0.0000202470	    0.0000573224	    0.0001412974	    0.0000184913	    0.0000215107	    0.0000543547	    0.0013646741	    0.0019249013	    0.0011897080	    0.0000312877	    0.0001770601	    0.0001816644	    0.0002389092	4.83646877199E+6	    0.0077779995	    0.0002458674	    0.0001533299	    0.0000941402	    0.0000459022	    0.0000676625	    0.0002731804	    0.0000534788	    0.0000571668
22  	    0.0000178254	    0.0000187883	    0.0000208729	    0.0000612778	    0.0001628798	    0.0000194405	    0.0000220521	    0.0000572334	    0.0026024150	    0.0015452601	    0.0021700905	    0.0000327766	    0.0002150943	    0.0002137121	    0.0002218071	4.68695430266E+6	    0.0058203904	    0.0002298475	    0.0001446578	    0.0000903441	    0.0000451681	    0.0000656546	    0.0002503107	    0.0000526673	    0.0000559625
23  	    0.0000187997	    0.0000195067	    0.0000215001	    0.0000651690	    0.0001844726	    0.0000203131	    0.0000224940	    0.0000598228	    0.0085942734	    0.0013510187	4.80201605214E+5	    0.0000342910	    0.0002611390	    0.0002468232	    0.0002050901	3.26654377663E+6	    0.0047387450	    0.0002185307	    0.0001372620	    0.0000867044	    0.0000445675	    0.0000637745	    0.0002289457	    0.0000520688	    0.0000549565
24  	    0.0000197542	    0.0000202674	    0.0000221718	    0.0000687294	    0.0002045979	    0.0000211874	    0.0000230040	    0.0000623741	    0.0171471173	    0.0008076098	4.42130232222E+6	    0.0000356958	    0.0003032537	    0.0002760029	    0.0001837963	    0.0031015218	    0.0014835554	    0.0001954333	    0.0001265968	    0.0000822264	    0.0000439176	    0.0000616463	    0.0002008762	    0.0000511135	    0.0000535852
25  	    0.0000207677	    0.0000211419	    0.0000229207	    0.0000733322	    0.0002354750	    0.0000221475	    0.0000236338	    0.0000654979	    0.0479241170	    0.0006136090	4.30590006569E+6	    0.0000372777	    0.0003725370	    0.0003386813	    0.0001702331	    0.0014446690	    0.0009342815	    0.0001801467	    0.0001190905	    0.0000790782	    0.0000436362	    0.0000601923	    0.0001831636	    0.0000505740	    0.0000527178
26  	    0.0000217489	    0.0000219888	    0.0000235188	    0.0000785648	    0.0002776039	    0.0000230438	    0.0000241754	    0.0000686568	2.32567083745E+6	    0.0004993851	1.86249576877E+6	    0.0000388677	    0.0005001524	    0.0004680802	    0.0001576129	    0.0009809934	    0.0006994513	    0.0001683574	    0.0001132133	    0.0000763738	    0.0000433709	    0.0000587167	    0.0001688042	    0.0000501364	    0.0000521005
27  	    0.0000226503	    0.0000228034	    0.0000240232	    0.0000839753	    0.0003207885	    0.0000238530	    0.0000246181	    0.0000718283	4.08126203965E+6	    0.0004026071	    0.0230355559	    0.0000403052	    0.0007037507	    0.0007599318	    0.0001443214	    0.0006865964	    0.0005277299	    0.0001560372	    0.0001072891	    0.0000736033	    0.0000430481	    0.0000570971	    0.0001546042	    0.0000495475	    0.0000514263
