T   	x_agg               	z_agg
99  	2.038786005216877E+9	3.388169898459046E+8
100 	1.947025519422675E+9	3.390035172991417E+8
101 	1.859394935801454E+9	3.391512947778220E+8
102 	1.775708378136334E+9	3.392836586099392E+8
103 	1.695788336018284E+9	3.394002974247478E+8
104 	1.619465288322737E+9	3.395008935457906E+8
105 	1.546577343632566E+9	3.395851228791381E+8
106 	1.476969896844676E+9	3.396526547765138E+8
107 	1.410495301231850E+9	3.397031518951375E+8
108 	1.347012555264254E+9	3.397362700354232E+8
109 	1.286387003526278E+9	3.397516578238810E+8
110 	1.228490051094351E+9	3.397516611751085E+8
111 	1.173198890769866E+9	3.397516611407622E+8
112 	1.120396242588647E+9	3.397516611401447E+8
113 	1.069970105054415E+9	3.397516611388420E+8
114 	1.021813517568607E+9	3.397516611377670E+8
115 	9.758243335526006E+8	3.397516611370857E+8
116 	9.319050037811247E+8	3.397516611365673E+8
117 	8.899623694672763E+8	3.397516611360217E+8
118 	8.499074646602415E+8	3.397516611353427E+8
119 	8.116553275365875E+8	3.397516611344851E+8
120 	7.751248201848430E+8	3.397516611334389E+8
121 	7.402384565011079E+8	3.397516611322122E+8
122 	7.069222378306416E+8	3.397516611308205E+8
123 	6.751054960067917E+8	3.397516611292801E+8
124 	6.447207434543388E+8	3.397516611276063E+8
125 	6.157035300393015E+8	3.397516611258112E+8
126 	5.879923063615611E+8	3.397516611239049E+8
127 	5.615282932003317E+8	3.397516611218956E+8
128 	5.362553568355508E+8	3.397516611197894E+8
129 	5.121198899807355E+8	3.397516611175918E+8
130 	4.890706980747381E+8	3.397516611153073E+8
131 	4.670588906912194E+8	3.397516611129392E+8
132 	4.460377778354989E+8	3.397516611104902E+8
133 	4.259627709088166E+8	3.397516611079619E+8
134 	4.067912881299363E+8	3.397516611053552E+8
135 	3.884826642134791E+8	3.397516611026708E+8
136 	3.709980641134001E+8	3.397516610999082E+8
137 	3.543004006486498E+8	3.397516610970667E+8
138 	3.383542558362901E+8	3.397516610941454E+8
139 	3.231258057652043E+8	3.397516610911427E+8
140 	3.085827488510461E+8	3.397516610880573E+8
141 	2.946942373202491E+8	3.397516610848874E+8
142 	2.814308117777624E+8	3.397516610816312E+8
143 	2.687643387197245E+8	3.397516610782872E+8
144 	2.566679508585297E+8	3.397516610748533E+8
145 	2.451159901337082E+8	3.397516610713282E+8
146 	2.340839532877405E+8	3.397516610677097E+8
147 	2.235484398913625E+8	3.397516610639966E+8
148 	2.134871027081179E+8	3.397516610601871E+8
149 	2.038786002928731E+8	3.397516610562796E+8
150 	1.947025517237512E+8	3.397516610522728E+8
151 	1.859394933714640E+8	3.397516610481653E+8
152 	1.775708376143442E+8	3.397516610439554E+8
153 	1.695788334115087E+8	3.397516610396419E+8
154 	1.619465286505198E+8	3.397516610352235E+8
155 	1.546577341896830E+8	3.397516610306988E+8
156 	1.476969895187061E+8	3.397516610260664E+8
157 	1.410495299648840E+8	3.397516610213251E+8
158 	1.347012553752491E+8	3.397516610164734E+8
159 	1.286387002082555E+8	3.397516610115102E+8
160 	1.228490049715607E+8	3.397516610064340E+8
161 	1.173198889453176E+8	3.397516610012434E+8
162 	1.120396241331217E+8	3.397516609959373E+8
163 	1.069970103853579E+8	3.397516609905140E+8
164 	1.021813516421817E+8	3.397516609849722E+8
165 	9.758243324574253E+7	3.397516609793103E+8
166 	9.319050027352402E+7	3.397516609735274E+8
167 	8.899623684684643E+7	3.397516609676215E+8
168 	8.499074637063834E+7	3.397516609615912E+8
169 	8.116553266256599E+7	3.397516609554352E+8
170 	7.751248193149137E+7	3.397516609491519E+8
171 	7.402384556703326E+7	3.397516609427399E+8
172 	7.069222370372571E+7	3.397516609361978E+8
173 	6.751054952491154E+7	3.397516609295241E+8
174 	6.447207427307632E+7	3.397516609227175E+8
175 	6.157035293482922E+7	3.397516609157769E+8
176 	5.879923057016526E+7	3.397516609087012E+8
177 	5.615282925701237E+7	3.397516609014895E+8
178 	5.362553562337071E+7	3.397516608941413E+8
179 	5.121198894059792E+7	3.397516608866559E+8
180 	4.890706975258501E+7	3.397516608790331E+8
181 	4.670588901670354E+7	3.397516608712733E+8
182 	4.460377773349071E+7	3.397516608633765E+8
183 	4.259627704307552E+7	3.397516608553432E+8
184 	4.067912876733913E+7	3.397516608471746E+8
185 	3.884826637774818E+7	3.397516608388716E+8
186 	3.709980636970260E+7	3.397516608304371E+8
187 	3.543004002510156E+7	3.397516608218762E+8
188 	3.383542554565524E+7	3.397516608131982E+8
189 	3.231258054025575E+7	3.397516608044190E+8
190 	3.085827485047213E+7	3.397516607955595E+8
191 	2.946942369895114E+7	3.397516607866349E+8
192 	2.814308114619103E+7	3.397516607776116E+8
193 	2.687643384180882E+7	3.397516607682978E+8
194 	2.566679505704693E+7	3.397516607581458E+8
195 	2.451159898586125E+7	3.397516607463041E+8
196 	2.340839530250262E+7	3.397516607338535E+8
197 	2.235484396404723E+7	3.397516607375820E+8
198 	2.134871024685195E+7	3.397516608562387E+8
199 	2.038786000640585E+7	3.397516610769843E+8
200 	1.947025515052349E+7	3.397506063977078E+8
